,source,album,artist,date,review,score
0,Record Collector,serpentine-prison,matt-berninger,"Sep 30, 2020","
                                it’s stunning record – album artwork perfectlyweighted running order nothing place nothing jars matt berninger didn’t want write solo record thank god did
                            ",10.0
1,Paste Magazine,serpentine-prison,matt-berninger,"Oct 16, 2020","
                                although album probably won’t last nestles nicely among singer’s existing body work serpentine prison displays infinite promise artist already given us catalogue made lasting impact rock music know it
                            ",8.7
2,The Line of Best Fit,serpentine-prison,matt-berninger,"Oct 15, 2020","
                                echoes home band clear there’s also underlying feeling something greater play  proof cut name much band serpentine prison matt berninger’s artistic truth joy
                            ",8.5
3,DIY Magazine,serpentine-prison,matt-berninger,"Oct 15, 2020","
                                collection allows masterful lyrics songcraft shone unfiltered 
                            ",8.0
4,New Musical Express (NME),serpentine-prison,matt-berninger,"Oct 15, 2020","
                                sure rests lot sonic territory national isn’t departure peppy indiepop sideproject el vy represents intimate generous offering one st century rock’s prominent voices
                            ",8.0
5,The Independent (UK),serpentine-prison,matt-berninger,"Oct 15, 2020","
                                ears album closer “serpentine prison” bears uncanny – strippedback – similarity “friend mine” part berninger record it’s good
                            ",8.0
6,musicOMH.com,serpentine-prison,matt-berninger,"Oct 13, 2020","
                                first solo work serpentine prison excellent sidestep berninger’s vitally important highly respected day job
                            ",8.0
7,American Songwriter,serpentine-prison,matt-berninger,"Oct  2, 2020","
                                berninger intended establish imprint beyond day job certainly succeeded serpentine prison opens doors visitors likely find hard leave
                            ",8.0
8,Mojo,serpentine-prison,matt-berninger,"Sep 30, 2020","
                                sounds heavy gong soul country moves comparative lightness music throughout help illuminate darkness nov  p
                            ",8.0
9,Uncut,serpentine-prison,matt-berninger,"Sep 30, 2020","
                                though less avidly adventurous bands recent outings past activities el vy music may stronger nov  p
                            ",8.0
10,Consequence of Sound,serpentine-prison,matt-berninger,"Sep 30, 2020","
                                serpentine prison isn’t drastic change pace many frontmen create project outside main band enough justify separate national’s catalog time longtime fans group undoubtedly feel home also admiring berninger differently
                            ",7.5
11,Beats Per Minute,serpentine-prison,matt-berninger,"Oct 15, 2020","
                                it’s tempting ever berninger’s work let slow burn thing repeated listens far unrewarding unpleasant depth doesn’t feel quite vast come expect still there’s doubting berninger fans new old welcome album embrace too
                            ",7.3
12,Exclaim,serpentine-prison,matt-berninger,"Oct 15, 2020","
                                solo debut serpentine prison seems like natural first step safe bet artists individual ambitions comfort existing fans
                            ",7.0
13,AllMusic,serpentine-prison,matt-berninger,"Oct 15, 2020","
                                taken together sequestered rainy sunday type album flawed worldweary vocal performances laid bare impressionistic accompaniment
                            ",7.0
14,Pitchfork,serpentine-prison,matt-berninger,"Oct 20, 2020","
                                instead modern stardust serpentine prison merely prolific musician’s stopgap
                            ",6.7
15,Rolling Stone,serpentine-prison,matt-berninger,"Oct 19, 2020","
                                result set forlorn ballads start spare gather beauty grow 
                            ",6.0
16,PopMatters,serpentine-prison,matt-berninger,"Oct 13, 2020","
                                serpentine prison may notperfect allows us new look familiar voice berninger achieve two decades career small feat
                            ",6.0
17,Slant Magazine,serpentine-prison,matt-berninger,"Oct 12, 2020","
                                serpentine prison may invoke familiar accusations dullness it’s refreshing hear berninger’s disaffected songwriting style take grownup perspective
                            ",6.0
18,AllMusic,private-lives,low-cut-connie,"Oct 13, 2020","
                                taken whole private lives richest rock  roll low cut connie made date married weiners emotionally resonant set songs combination thats potent moving
                            ",9.0
19,PopMatters,private-lives,low-cut-connie,"Oct 13, 2020","
                                private lives killer  although utilized studio instead onstage performances feel live record every song seems want break constraints workshop positive way keeps vibe taut suggests promise liberation
                            ",9.0
20,Uncut,private-lives,low-cut-connie,"Oct 16, 2020","
                                lofi ambience sometimes sound submerged suiting report deep lifes wreckage dec  p
                            ",7.0
21,Classic Rock Magazine,private-lives,low-cut-connie,"Oct 14, 2020","
                                latter sense indefatigable positivity shines sense togetherness engendered celebration classic nononsense rocknroll nov  p
                            ",7.0
22,Rolling Stone,private-lives,low-cut-connie,"Oct 13, 2020","
                                record’s failing weiner’s instinct maximalism many private lives’  tracks one twominute segues don’t sound much like intervals undercooked songs it’s like songs low cut connie could developed felt release fill two albums easily skippable there’s enough topshelf connie speed bumps don’t slow much
                            ",7.0
23,American Songwriter,private-lives,low-cut-connie,"Oct 13, 2020","
                                affecting rugged yet times surprisingly sensitive private lives act’s accomplished immediate release yet  
                            ",7.0
24,musicOMH.com,sundowner,kevin-morby,"Oct 16, 2020","
                                never going replace favourite kevin morby album it’s unlikely make new fans feels like kind private delight great artists bestow fans loyalty time time sundowner morby’s harvest moon nebraska hejira – statement intent made quietest way possible
                            ",8.0
25,Mojo,sundowner,kevin-morby,"Oct 13, 2020","
                                even without explicit elegies theres sense morby permanently watching something sink horizon suspending whats left beautiful songwriting amber nov  p
                            ",8.0
26,Pitchfork,sundowner,kevin-morby,"Oct 19, 2020","
                                sundowner sharper sync previous records it’s certainly referential it’s hardly completely retro 
                            ",7.2
27,Exclaim,sundowner,kevin-morby,"Oct 14, 2020","
                                sundowners glow begins fade albums latter half final two tracks instrumental velvet highway provisions pleasant enough taper album muted note minimalist ending showing less isnt always more
                            ",7.0
28,Uncut,sundowner,kevin-morby,"Oct 13, 2020","
                                delicate desertbaked confessionals plenty nov  p
                            ",7.0
29,AllMusic,sundowner,kevin-morby,"Oct 13, 2020","
                                sundowner recalls relaxed reflective moods morbys earlier albums
                            ",7.0
30,Clash Music,sundowner,kevin-morby,"Oct 13, 2020","
                                instrumentation guitar playing particular sometimes feel like serenade encapsulate place time easily lends credit talent songwriter sudden sundowner too
                            ",7.0
31,New Musical Express (NME),sundowner,kevin-morby,"Oct 16, 2020","
                                given somewhat disjointed making record – journey stretches  midlockdown – lacks cohesiveness recent material songs origins however come completely different place morby one instinctive reflective jots snapshots musings eloquently handy piece kit given kickstarted new exploration songwriting resulting project still worth savouring
                            ",6.0
32,The Line of Best Fit,dark-hearts,annie,"Oct 15, 2020","
                                dark hearts hits exceptional stride beginning find quickly tracks don’t necessarily live fullest potential
                            ",7.5
33,Pitchfork,dark-hearts,annie,"Oct 15, 2020","
                                dark hearts best artificial moments aim “realness” seem less so
                            ",7.1
34,The Quietus,dark-hearts,annie,"Oct 16, 2020","
                                dark hearts marks astute shift away energy clubs focusing instead hazy synth pop languid ballads run album production feats led work stefan storm best enjoyed headphones 
                            ",7.0
35,Slant Magazine,dark-hearts,annie,"Oct 15, 2020","
                                annie broke mid aughts cheeky indelible dancepop like “chewing gum” “heartbeat” dark hearts luxuriates unapologetically moodier palette
                            ",7.0
36,musicOMH.com,dark-hearts,annie,"Oct 15, 2020","
                                dark hearts mixed bag many wellcrafted moments stellar production choices aren’t outright bad songs likelihood less obviously pop moments potential grow time
                            ",7.0
37,AllMusic,dark-hearts,annie,"Oct 16, 2020","
                                dark hearts may notentirely successful impossible dismiss failure thanks heart soul annie put lyrics vocals also notmany dancepop artists willing explore darkness settles bubble bursts shes commended that
                            ",6.0
38,DIY Magazine,dark-hearts,annie,"Oct 15, 2020","
                                ‘the streets belong’ appears aim ‘s fm radio nostalgia title track hints cod reggae ‘forever ‘’ borrows smidgen shoegazey guitars ‘the bomb’ touch trip hop lack immediacy paperthin production discernible hooks throughout anyone still humming ‘chewing gum’ ‘heartbeat’ it’s disappointment
                            ",4.0
39,New Musical Express (NME),fake-it-flowers,beabadoobee,"Oct 15, 2020","
                                leap bedroomdweller teenage riot instigator swift fruitful one could considered derivative genuine every sense circumstance might dictate bedroom songwriting back cards bea slow crawl return live shows continues there’s rocksolid foundation years come
                            ",10.0
40,The Line of Best Fit,fake-it-flowers,beabadoobee,"Oct 16, 2020","
                                bea beacon nostalgia kids wished born decade two earlier donning walkman listening cassettes swapping one grunge gem next bea provides muchneeded trip memory lane notmuch it’s pastiche era rather ardent nod ode to
                            ",9.0
41,Consequence of Sound,fake-it-flowers,beabadoobee,"Oct 19, 2020","
                                fake flowers true evolution record that’s stronger fuller beabadoobee’s earlier eps exemplifies ongoing growth artistry 
                            ",8.3
42,Under The Radar,fake-it-flowers,beabadoobee,"Oct 19, 2020","
                                music built main stages mainstream radio fact kristi managed keep warmth wit earlier releases expanding sound may album’s greatest feat 
                            ",8.0
43,musicOMH.com,fake-it-flowers,beabadoobee,"Oct 19, 2020","
                                fake flowers wellaccomplished debut featuring consistent enjoyable style fullyformed persona catchy tunes speak head heart
                            ",8.0
44,Exclaim,fake-it-flowers,beabadoobee,"Oct 16, 2020","
                                loud thoughtful melodies flirty messy fake flowers album made play guts grit young age kristi knows extremely well yet mindful enough give much strong collection songs
                            ",8.0
45,AllMusic,fake-it-flowers,beabadoobee,"Oct 16, 2020","
                                gift distilling complex emotions relatable songs vital beabadoobees music rapidly evolving sound shine fake flowers
                            ",8.0
46,The Independent (UK),fake-it-flowers,beabadoobee,"Oct 15, 2020","
                                though doesn’t deliver promised  twist nineties formula beabadoobee’s debut album terrific new addition “bubblegrunge” genre
                            ",8.0
47,Clash Music,fake-it-flowers,beabadoobee,"Oct 15, 2020","
                                ‘fake flowers’ starting statement runs unmitigated confidence revealing enthralling enchanting debut record one finally finds beabadoobee throwing open gates letting world life it’s joy behold
                            ",8.0
48,DIY Magazine,fake-it-flowers,beabadoobee,"Oct 15, 2020","
                                diaryentry nature bea’s songwriting  twelve tracks dips hair dye empowerment ‘dye red’ selfharm via blistering highlight ‘charlie brown’ notparticularlywellhidden reference boyfriend ‘horen sarrison’  makes fuzzy bubblegum grunge ‘fake flowers’ perfect brooding soundtrack
                            ",8.0
49,Paste Magazine,fake-it-flowers,beabadoobee,"Oct 16, 2020","
                                may notcompelling lyricist among peers melodies place squarely middle pack she’s best sparkly songs reach incredibly catchy heights exude clarity confusing time one’s life fake flowers she’s cusp something great time tell side falls on
                            ",7.2
50,Rolling Stone,fake-it-flowers,beabadoobee,"Oct 19, 2020","
                                best fake flowers right first veruca salt record dog’s totally crushed ability fuse pensive elation sugary guitar charge sweet pop melodies
                            ",7.0
51,No Ripcord,fake-it-flowers,beabadoobee,"Oct 19, 2020","
                                keep flowers edgy brash well put together statement mostly goes easy  
                            ",7.0
52,Pitchfork,fake-it-flowers,beabadoobee,"Oct 20, 2020","
                                often jumps john hughesisan climaxes without laying foundation would grant proper emotional heft kristi shines guitarist composer even sternest skeptics might forced headbang power chords crash particularly distorted chorus beabadoobee needs punch script set perfectly lit
                            ",6.4
53,The Guardian,fake-it-flowers,beabadoobee,"Oct 19, 2020","
                                fake flowers beabadoobee’s debut album proper polishes sound spindlier eps homogenising away gawk crunch singing voice isn’t particularly winsome coo could see nailing one treacly tv advert cover versions  wish beabadoobee could muster little periodperfect surliness
                            ",6.0
54,Spin,wildflowers-all-the-rest,tom-petty,"Oct 15, 2020","
                                wildflowers much showcase petty solo artist point life petty songwriting machine reissue demos prove  still displaying extraordinary ambition importantly still speaking large audience  tom petty miraculous ability write songs almost anyone could identify enjoy wildflowers  rest revealing window process far 
                            ",10.0
55,Entertainment Weekly,wildflowers-all-the-rest,tom-petty,"Oct 15, 2020","
                                suffused warmth memory set belongs among tom petty records nov  p
                            ",10.0
56,The New York Times,wildflowers-all-the-rest,tom-petty,"Oct 15, 2020","
                                one geeky joys “wildflowers rest” observing petty absolute peak songwriting powers making small intelligent tweaks songs progress sometimes it’s single world letters  deep despair rich soil songs makes bearable makes record timelessly listenable everything else that’s mixed humor wisdom little randiness palpable sense hope 
                            ",10.0
57,Variety,wildflowers-all-the-rest,tom-petty,"Oct 16, 2020","
                                fascinating oralhistory annotation  tracks “superdeluxe” edition augmented “wildflowers” best justified boxed set kind since beatles’ white album compendium it’s one ones you’d load arm fire petty fire period presence  distinct compositions big box attests 
                            ",9.5
58,Pitchfork,wildflowers-all-the-rest,tom-petty,"Oct 19, 2020","
                                despite length  songs across  hours longest version feels designed played fronttoback casual fans need standard set pairs wildflowers  outtakes rest there’s element feels superfluous essence album palpable part
                            ",9.3
59,Classic Rock Magazine,wildflowers-all-the-rest,tom-petty,"Oct 15, 2020","
                                theres lot take petty one many peaks worth luxuriating nov  p
                            ",9.0
60,Glide Magazine,wildflowers-all-the-rest,tom-petty,"Oct 15, 2020","
                                existence provides valuable insight creative process end that’s enduring possible additions petty’s legacy
                            ",9.0
61,New Musical Express (NME),wildflowers-all-the-rest,tom-petty,"Oct 19, 2020","
                                start it’s clear isn’t posthumous dig around bucket old offcuts attempt bleed money dedicated fans rather slick gratifying fulfilment one petty’s long standing wishes ‘wildflowers  rest’ feels less like graverobbing like bringing back one alltime greats back life
                            ",8.0
62,Rolling Stone,wildflowers-all-the-rest,tom-petty,"Oct 19, 2020","
                                years since petty released  classic album slowly revealed onstage interviews darkly personal inspirations record retrospective box sprawling bursting creative process went making wildflowers it’s definitive artistic statement newly illuminates one fruitful inspired periods american legend’s career 
                            ",8.0
63,Clash Music,wildflowers-all-the-rest,tom-petty,"Oct 15, 2020","
                                impressive collection touching tribute petty’s enduring legacy demonstrates candour artistry emotive storytelling real must tom petty fan paints even colourful picture always masterpiece well unveiling exciting treasure trove musical gems inevitably become longlasting petty classics
                            ",8.0
64,Uncut,sign,autechre,"Oct 16, 2020","
                                album beautiful tracks dec  p
                            ",9.0
65,Clash Music,sign,autechre,"Oct 16, 2020","
                                ‘sign’ album doesn’t get skin head give enough time feel better autechre returned wait definitely worth it
                            ",9.0
66,Pitchfork,sign,autechre,"Oct 16, 2020","
                                sign autechre managed something machines can’t nearly well humans surprise us
                            ",8.1
67,The Quietus,sign,autechre,"Oct 16, 2020","
                                sign welcome detour diversion difficult complicated times salve sorts it’s close chillout music duo ever likely get making perfect autechre album 
                            ",8.0
68,musicOMH.com,sign,autechre,"Oct 16, 2020","
                                simply put one electronic music quite like autechre
                            ",8.0
69,Beats Per Minute,sign,autechre,"Oct 19, 2020","
                                may miss utter blistering angular noisescapes past autechre albums assured album less autechre despite arguably accessible album decade still left set  tracks unpredictable labyrinthine ever duo trying work slightly different avenue 
                            ",7.9
70,AllMusic,sign,autechre,"Oct 16, 2020","
                                albums tracks somewhat formless notdistinctive enough make lasting impression overall sign one approachable autechre releases quite time easier starting reentry point listeners arent committed enough plunge headier works
                            ",7.0
71,The Guardian,sign,autechre,"Oct 16, 2020","
                                times sign truly soars though never manages eclipse what’s crowded sonic milieu
                            ",6.0
72,The Line of Best Fit,someone-new,helena-deland,"Oct 16, 2020","
                                someone new presence lingers long it’s finished album demands full attention sucking air room leaving drift grey matter deland’s mind last notes fade black ghost someone new continues haunt — it’s utterly unforgettable record
                            ",9.5
73,Exclaim,someone-new,helena-deland,"Oct 16, 2020","
                                also feelings weariness romantic ambivalence quickly knot ones jealousy longing course resolution sight albums end inbetweenspaces deland thrives gestational document thrilling witness
                            ",9.0
74,Clash Music,someone-new,helena-deland,"Oct 19, 2020","
                                fans may disappointed subdued nature ‘someone new’ yet ability combine woozy guitars killer synths endlessly catchy melodies hasn’t disappeared softened matured title track brilliant ‘pale’ ‘dog’ prove
                            ",8.0
75,Beats Per Minute,someone-new,helena-deland,"Oct 16, 2020","
                                though lacking musical revelations moments album highlight sharp instincts songwriter catharsis someone new that’s palpable deland harnesses going forward things get brighter here
                            ",7.2
76,AllMusic,someone-new,helena-deland,"Oct 16, 2020","
                                throughout someone new top hypnotic mix strange familiar delands vulnerable voice helps make selfconscious searching commentaries engrossing
                            ",7.0
77,PopMatters,waiting-out-the-storm,jeremy-ivey,"Oct 16, 2020","
                                theres showing extended solos except iveys lengthy vocal lines
                            ",8.0
78,Glide Magazine,waiting-out-the-storm,jeremy-ivey,"Oct 16, 2020","
                                rock solid half crazy horsehalf heartbreakers sounding band extraterrestrials ivey notexpands sound last year’s dream dreamer brings passionate sense urgency too
                            ",8.0
79,AllMusic,waiting-out-the-storm,jeremy-ivey,"Oct 16, 2020","
                                regardless thematic angle ivey approaches music intelligence heart serving concise views inner outer worlds likeable sophomore set
                            ",8.0
80,American Songwriter,waiting-out-the-storm,jeremy-ivey,"Oct 16, 2020","
                                despite decidedly downcast demeanor — imagine john cale nick cave lou reed crashing one another’s therapy sessions turning one colossal vent — several songs find spark manages illuminate even darkest designs 
                            ",7.0
81,The Telegraph (UK),album-no-8,katie-melua,"Oct 16, 2020","
                                laidback album drawing dreamy seventies milieu laurel canyon touch easy listening sumptuousness burt bacharach ways lovers drift apart evoking fall autumnal leaves rather blood tracks
                            ",8.0
82,AllMusic,album-no-8,katie-melua,"Oct 16, 2020","
                                album  intensely personal album feels like melua made first foremost
                            ",8.0
